Ludvika scoutkår;Tre Krokars gata 13, Ludvika;18.2;60.139;15.184
Högbergskyrkans unga;Södra Järnvägsgatan 29, Ludvika;18.8;60.146;15.192
Fagersta-Stålringen scoutkår;;26.6;59.989;15.804
Fagersta scoutkår;Kyrkvägen, Fagersta;26.7;59.992;15.806
Norberg scoutkår;Hedemoravägen 22, Norberg;34.8;60.076;15.93
Hagaberg scoutkår;;43.5;59.604;15.235
Vikmanshyttans scoutkår;Tallgatan 12b, Vikmanshyttan;43.6;60.296;15.822
Kristinakyrkans Barn och Ungdom;Kristinavägen 32, Lindesberg;44.7;59.594;15.226
Säter scoutkår;Barbrogatan 2, Säter;45.9;60.345;15.756
Vasakyrkans Ungdom;Landsgatan 25, Hedemora;48.8;60.28;15.989
Hedemora scoutkår;Stadsberget, Hedemora;49.1;60.293;15.974
Stora Tuna scoutkår;Wallingården, Borlänge;52.0;60.453;15.469
Borlänge EFS scoutkår;;55.0;60.484;15.402
SMU i Nora;Skolgatan 16, Nora;55.2;59.519;15.036
Nora scoutkår;Söderlånggatan 9, Nora;55.4;59.517;15.038
Borlänge Scoutkår;Tansågatan 6, Borlänge;56.5;60.497;15.424
SMU i Frövi;Lövstagatan 4, Frövi;58.9;59.464;15.368
Arkhyttans scoutkår;Arkhyttan, St Skedvi;59.1;60.445;15.882
SMU i Fors;Garpenbergsvägen 7, Fors;59.4;60.207;16.305
Kristen Gemenskaps Ungdom;Anders Frisells väg 1, Mockfjärd;60.3;60.502;14.966
Vika scoutkår;Kolviksvägen 1, Falun;61.8;60.512;15.715
Equmenia Himmeta;Församlingshemmet, Himmeta;63.2;59.49;15.851
Fellingsbro SMU;Körvägen 1, Fellingsbro;64.1;59.433;15.596
Lesjöfors Scoutkår;Stiftelsevägen 1, Lesjöfors;64.4;59.981;14.175
SMU i Köping;Björkvägen 1, Köping;64.9;59.517;15.996
Equmenia Hallstahammar;Rotevägen 4, Hallstahammar;65.2;59.617;16.219
Köpings scoutkår;Östra Långgatan 22, Köping;65.6;59.51;15.997
Gnistan Hallstahammar Scoutkår;Storgatan 12, Hallstahammar;65.6;59.615;16.225
Hallstahammars Scoutkår;Gråstensvägen, Hallstahammar;65.6;59.627;16.246
Equmenia i Möklinta;Hammarby 122, Möklinta;67.9;60.085;16.532
Skultuna scoutkår;Bäckebo, Västanåvägen 3, SKULTUNA;68.2;59.719;16.418
Horndals scoutkår;SCOUTSTUGAN KRÅNGEDE, Horndal;68.9;60.294;16.411
Nybrokyrkans scouter Equmenia Falun;Nybrokyrkan, Promenaden 35, Falun;70.9;60.61;15.633
Järlindens scoutkår;Manhemsvägen 34, Falun;71.2;60.611;15.648
Equmenia Sala Missionskyrka;Norra Esplanaden 12, Sala;71.9;59.922;16.607
Lundhagskyrkans scoutkår;Kårstavägen 31, Örebro;72.1;59.347;15.234
Vasakyrkans ungdom;Vasakyrkan Vasagatan 11, Filipstad;72.1;59.715;14.166
Hovsta scoutkår;Lunds gård, Hovsta, Örebro;72.4;59.344;15.232
Arboga Scoutkår;Racksäter, Arboga;72.7;59.373;15.738
S:t Örjans scoutkår Västerås;Vångsta, Västerås;73.5;59.624;16.415
Hovsta scoutkår;Kyrkvägen 4, Örebro;75.3;59.318;15.227
Centrumkyrkans scoutkår;Prästgatan 6, Kungsör;76.8;59.422;16.096
Örebro västra scoutkår;Eurostophuset, Vivalla, Örebro;77.0;59.304;15.194
SMU i Götlunda;Lunger, Arboga;77.3;59.321;15.676
SMU i Insjön;Faluvägen 27, Insjön;77.7;60.68;15.098
Syrianska scoutkåren i Västerås;Daggrosgatan, Västerås;77.9;59.649;16.538
St:Eliyo;Daggrosgatan 2, Västerås;77.9;59.649;16.538
S:t Eliyo Scoutkår;Emausgatan 45E, Västerås;77.9;59.649;16.538
S:t Olofs scoutkår Västerås;Slånbärsgatan 11, Västerås;78.6;59.636;16.537
Västmanlands distriktskår;;78.7;59.636;16.539
S:t Mikaels scoutkår;S:t Mikaels kyrka, Hjärstav. 33, Örebro;78.7;59.289;15.192
Västerås Ansgarsförsamlingens scoutkår (VASK);Pettersbergsgatan 32, Västerås;78.8;59.617;16.518
Örebro Scoutkår;Varbergagatan 100, Örebro;79.1;59.286;15.179
Hökåsens scoutkår;Larslundsvägen 54, Västerås;80.3;59.656;16.594
SMU i Betlehemskyrkan Örebro;Sturegatan 9, Örebro;80.6;59.27;15.228
Frälsningsarmens scoutkår Örebro;Kungsgatan 24, Örebro;80.9;59.268;15.212
KFUK-KFUM Västerås Scoutkår;Lövudden, Västerås;81.2;59.58;16.52
Malmaberg - Rudbeckius scoutkår;Rotundaskolan, Hemdalsvägen 3, Västerås;81.5;59.616;16.573
Källartorpskyrkans ungdom;Flygfältsvägen 6, Dala-Järna;81.7;60.549;14.367
Engelbrekts scoutkår;Rudbeckiusvägen 9, Örebro;81.8;59.259;15.246
Kvicksunds Scoutkår;Sundbyviksvägen 1, Kvicksund;83.0;59.448;16.335
Equmenia Vintrosa Tomta;Villagatan 24, Vintrosa;83.4;59.264;14.987
Västerås sjöscoutkår;Tegelbruksvägen 4, Västerås;83.7;59.594;16.592
Adolfsbergs scoutkår;Glomman 100, Örebro;84.1;59.241;15.182
Hamre scoutkår;Björnövägen, Västerås;84.8;59.59;16.611
SMU i Leksand;Rättviksvägen 60, Leksand;84.8;60.735;14.992
Leksands SMU;Solvi SMU-gård, Rättviksvägen 60, Leksand;84.9;60.736;14.992
